id,year,rank,average,bayes_average,users_rated,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,owned,trading,wanting,wishing
163957,2014,18604,6.06,5.496,39,2014,3,5,10,10,10,13,130,10,3,26
318322,2021,12273,7.15,5.534,39,2021,1,5,120,60,120,0,118,7,27,64
14117,2004,16173,6.13,5.511,39,2004,2,5,0,0,0,12,249,23,3,12
64430,2009,16104,6.54,5.511,39,2009,2,7,10,10,10,6,71,0,1,5
128282,0,18095,5.58,5.499,39,0,4,16,30,30,30,4,116,2,0,1
36687,2008,17133,5.83,5.506,39,2008,3,6,30,30,30,0,60,0,3,9
147852,2013,14879,6.58,5.518,39,2013,2,2,15,15,15,12,67,10,3,12
252657,2014,11520,7.2,5.54,39,2014,3,4,45,30,45,10,87,3,15,34
130520,2012,16210,6.1,5.511,39,2012,2,8,10,10,10,5,68,3,0,2
6194,1991,20412,4.46,5.475,39,1991,2,4,30,30,30,8,150,11,2,17
17836,2002,15388,6.33,5.515,39,2002,2,6,120,120,120,12,104,2,4,5
99254,2005,19645,5.23,5.486,39,2005,2,6,90,90,90,8,125,3,4,9
27618,1987,15392,6.64,5.515,39,1987,2,2,20,20,20,0,94,6,3,3
269487,2017,17559,6.36,5.503,39,2017,2,6,30,30,30,17,144,3,0,14
273482,2018,9443,8.67,5.562,39,2018,2,2,60,45,60,14,218,5,13,18
246,1996,19496,5,5.488,39,1996,3,7,0,0,0,12,82,8,2,3
302887,2020,11350,7.26,5.541,39,2020,2,2,30,20,30,0,136,5,9,20
2724,1981,19498,5.19,5.488,39,1981,2,6,120,60,120,12,123,15,5,9
7526,1990,15233,6.31,5.516,39,1990,2,2,180,180,180,16,153,12,8,16
64570,2011,11530,7.29,5.54,39,2011,2,6,360,360,360,12,60,0,29,66
329607,2021,11353,7.35,5.541,39,2021,1,4,45,20,45,8,205,2,17,60
237384,2017,10136,8.1,5.553,39,2017,2,10,120,15,120,17,226,6,13,34
9263,1996,17111,5.92,5.506,39,1996,2,2,240,240,240,12,188,15,4,11
331401,2022,13339,7.63,5.527,39,2022,1,4,80,40,80,10,98,0,28,320
10543,1980,17100,6.04,5.506,39,1980,2,2,60,60,60,10,92,2,2,4
329939,2021,11899,7.36,5.537,39,2021,1,4,90,40,90,10,30,0,21,173
287088,2020,14702,6.71,5.519,39,2020,2,5,50,15,50,6,146,4,3,24
73233,2010,15562,6.23,5.514,39,2010,2,2,60,60,60,12,158,3,7,12
148117,2016,15866,6.15,5.513,39,2016,2,6,30,15,30,13,130,6,1,11
9320,1982,20107,4.67,5.48,39,1982,2,4,20,20,20,5,72,3,1,2
195073,2016,17739,5.56,5.502,39,2016,2,4,15,15,15,6,89,1,4,7
134069,2017,13515,6.76,5.526,39,2017,2,3,60,45,60,10,124,10,9,22
165557,2014,18141,5.4,5.499,39,2014,2,6,30,30,30,12,77,0,0,1
18600,1971,12243,8,5.535,39,1971,1,2,30,30,30,0,45,0,4,7
28253,2007,14975,6.64,5.518,39,2007,1,2,360,360,360,12,135,11,8,27
222913,2017,13294,6.86,5.528,39,2017,2,8,30,15,30,8,134,5,2,4
146841,2013,17937,5.59,5.501,39,2013,2,4,10,10,10,6,106,0,0,3
27007,2006,15383,6.22,5.515,39,2006,2,4,120,120,120,12,275,14,8,34
202674,2015,15384,6.21,5.515,39,2015,2,6,60,30,60,10,111,11,0,6
175313,2014,14738,6.52,5.519,39,2014,2,2,15,15,15,5,56,2,1,7
277424,2019,15613,6.25,5.514,39,2019,2,4,20,10,20,5,104,2,2,15
260524,2021,14391,8.73,5.521,39,2021,1,5,180,60,180,16,39,1,25,319
11763,1994,13167,6.83,5.529,39,1994,1,2,1,1,1,12,171,11,10,17
35654,2004,10815,8.01,5.546,39,2004,2,10,180,180,180,12,77,0,2,17
10842,2004,16292,5.91,5.51,39,2004,2,4,15,15,15,6,74,4,14,27
331126,2021,14980,6.25,5.518,39,2021,2,6,45,20,45,8,127,2,9,73
18205,2002,10938,7.72,5.545,39,2002,2,4,120,120,120,12,90,2,4,11
228503,2017,20668,4.12,5.469,39,2017,2,6,20,20,20,14,228,35,2,7
11737,1957,21024,3.68,5.457,39,1957,1,4,10,10,10,3,71,3,0,2
194974,2016,16293,6.03,5.51,39,2016,3,7,20,20,20,10,120,2,0,6
3892,1997,13164,7.04,5.529,39,1997,2,6,180,180,180,12,98,3,13,37
75292,2010,16512,6.05,5.509,39,2010,2,2,30,30,30,0,261,12,4,4
8355,2000,11661,7.42,5.539,39,2000,1,2,180,180,180,12,193,6,8,25
195696,2016,19630,5.4,5.486,39,2016,2,4,30,15,30,7,116,6,0,5
24325,2006,17950,5.56,5.5,39,2006,2,2,900,120,900,12,245,13,6,15
236713,2020,14185,8.39,5.522,39,2020,2,4,60,30,60,10,38,1,3,23
8477,1976,18928,5.22,5.493,39,1976,2,4,20,20,20,6,96,9,6,13
274635,2019,16497,6.25,5.509,39,2019,4,4,20,20,20,7,121,3,9,27
91448,2010,18929,5.22,5.493,39,2010,2,12,30,30,30,13,164,5,0,7
286658,2019,13720,6.6,5.525,39,2019,2,4,30,30,30,7,53,3,1,11
193031,2017,16154,6.09,5.511,39,2017,2,4,90,45,90,14,192,17,8,38
30852,2007,17434,5.81,5.504,39,2007,2,2,20,20,20,0,84,5,2,8
171494,2015,14781,6.32,5.519,39,2015,2,4,25,25,25,8,62,2,6,14
151892,2013,12385,7.14,5.534,39,2013,2,2,120,120,120,13,125,7,12,40
273009,2019,12482,7.41,5.533,39,2019,1,5,720,300,720,12,226,3,17,56
9133,2001,15683,6.54,5.514,39,2001,2,2,180,180,180,12,205,6,7,15
66245,2010,16738,6.15,5.508,39,2010,4,0,45,45,45,11,95,3,0,1
37392,2008,13596,6.79,5.526,39,2008,2,2,60,60,60,12,150,3,11,32
5638,1982,18798,5.49,5.494,39,1982,3,8,120,120,120,0,133,9,2,7
168082,2014,11213,7.47,5.542,39,2014,2,4,90,90,90,12,52,0,0,5
20834,1997,12035,7.12,5.536,39,1997,2,4,15,15,15,8,65,0,8,31
71899,2010,18749,5.2,5.494,39,2010,2,2,10,10,10,14,95,4,4,17
144412,2014,13594,7.12,5.526,39,2014,4,8,60,60,60,13,231,28,8,36
8966,1991,18679,5.42,5.495,39,1991,2,2,360,360,360,12,196,28,4,4
252962,2018,13592,6.8,5.526,39,2018,2,4,20,10,20,7,116,3,3,14
103687,2011,18864,5.41,5.494,39,2011,2,5,45,45,45,10,94,8,5,20
174057,2015,16924,6.1,5.507,39,2015,2,5,20,20,20,8,58,2,0,2
18870,1980,14625,6.45,5.52,39,1980,2,2,30,30,30,0,139,15,5,16
160658,2014,17629,5.84,5.503,39,2014,1,6,20,20,20,10,183,0,2,20
2765,2001,17652,5.61,5.503,39,2001,2,5,90,90,90,12,71,5,0,5
6965,2003,19757,4.99,5.485,39,2003,2,6,120,120,120,8,111,2,7,16
198142,2016,15682,6.36,5.514,39,2016,2,2,0,0,0,14,167,3,1,6
286861,2019,10344,7.96,5.551,39,2019,2,4,60,30,60,0,132,1,3,2
32444,2007,18800,5.21,5.494,39,2007,2,8,5,5,5,0,88,5,2,4
174218,2015,14494,6.46,5.52,39,2015,2,4,20,10,20,12,122,7,10,9
7631,1989,19279,5.26,5.49,39,1989,3,6,45,45,45,10,157,10,0,3
3805,2000,17822,5.75,5.501,39,2000,2,6,20,20,20,6,95,4,5,14
2845,1991,18869,5.22,5.494,39,1991,2,2,90,90,90,12,175,15,2,12
1427,1999,17843,5.55,5.501,39,1999,2,2,90,90,90,10,146,11,3,17
7921,1991,14331,6.42,5.521,39,1991,1,8,30,30,30,5,87,4,2,9
171258,2015,13377,6.67,5.527,39,2015,2,6,30,30,30,5,58,4,6,15
67364,0,19670,4.96,5.486,39,0,2,2,10,10,10,0,62,1,0,1
169988,2014,18488,5.37,5.497,39,2014,2,12,5,5,5,4,135,1,2,10
19442,1998,16023,6.2,5.512,39,1998,1,5,0,0,0,0,142,5,2,10
243101,2017,17290,5.84,5.505,39,2017,2,8,480,120,480,14,212,5,2,8
245644,2018,12903,6.99,5.53,39,2018,2,4,20,20,20,6,71,3,1,7
3335,1983,17305,5.96,5.505,39,1983,2,2,20,20,20,8,134,5,2,11
332782,2020,11583,7.21,5.539,39,2020,1,1,60,60,60,16,101,1,7,38
163724,2014,18836,5.43,5.494,39,2014,2,4,180,180,180,8,226,6,0,2
224416,2018,12542,8.48,5.533,39,2018,2,4,180,45,180,12,91,0,37,271
214849,2016,15128,6.5,5.517,39,2016,2,2,0,0,0,4,97,1,1,7
205496,2016,13385,6.66,5.527,39,2016,4,4,40,25,40,10,78,3,3,12
244164,2016,11444,7.35,5.54,39,2016,1,0,0,0,0,0,84,2,3,16
192311,2016,18840,5.2,5.494,39,2016,3,6,90,45,90,13,211,13,1,22
268248,1987,12496,7.18,5.533,39,1987,2,99,360,180,360,16,101,1,4,3
289494,2020,13647,6.77,5.525,39,2020,2,5,30,15,30,8,53,0,2,37
19381,2005,19593,5.03,5.487,39,2005,1,8,40,40,40,12,55,2,3,11
3849,1995,20333,4.5,5.477,39,1995,2,2,60,60,60,0,72,7,0,3
34310,2008,16884,6.13,5.507,39,2008,2,4,240,240,240,0,274,6,8,16
156567,2011,18166,5.48,5.499,39,2011,2,8,0,0,0,12,123,4,1,4
819,1998,14864,6.27,5.518,39,1998,3,5,30,30,30,14,55,2,22,28
175735,2015,14467,6.54,5.521,39,2015,2,10,20,10,20,7,70,1,15,48
6675,1992,18792,5.25,5.494,39,1992,2,4,30,30,30,4,88,7,1,1
29879,2012,15547,6.3,5.515,39,2012,2,2,0,0,0,10,189,21,3,45
5295,1983,16772,6.06,5.508,39,1983,2,2,120,120,120,12,164,15,10,14
187673,2015,14668,6.61,5.519,39,2015,3,5,120,45,120,12,83,3,0,3
287580,2019,17643,6.07,5.503,39,2019,2,8,35,25,35,8,52,1,1,16
4650,1975,12946,6.73,5.53,39,1975,3,7,60,60,60,0,104,11,4,12
177633,2015,19206,5.74,5.491,39,2015,2,5,45,30,45,13,58,2,0,3
219208,2017,14341,6.63,5.521,39,2017,2,6,45,20,45,12,93,0,1,9
235254,2017,11411,7.32,5.541,39,2017,2,16,15,15,15,6,39,0,12,28
10038,1994,13208,6.95,5.528,39,1994,1,2,240,240,240,12,219,12,4,17
177807,2014,18470,5.36,5.497,39,2014,1,4,45,30,45,8,117,3,0,7
26729,1995,19832,4.94,5.484,39,1995,2,4,30,30,30,0,111,2,0,2
92838,2011,10498,7.69,5.549,39,2011,2,2,20,20,20,8,79,0,10,17
232358,2017,13451,6.89,5.527,39,2017,2,6,75,45,75,10,53,1,4,25
6990,1998,20130,4.69,5.48,39,1998,2,6,90,90,90,10,69,2,0,3
160871,2014,14327,6.52,5.521,39,2014,1,2,90,90,90,9,154,10,2,21
169465,0,15780,6.21,5.513,39,0,8,26,20,20,20,15,73,2,0,1
199026,2015,17689,5.73,5.502,39,2015,3,6,30,10,30,7,92,2,1,2
8972,2002,20369,4.47,5.476,39,2002,2,4,10,10,10,8,143,14,0,1
116849,2011,16262,6.15,5.511,39,2011,3,8,15,15,15,10,88,2,0,3
73230,2010,15189,6.44,5.517,39,2010,1,2,60,60,60,12,159,6,9,17
5084,1983,19709,4.95,5.486,39,1983,2,2,30,30,30,7,161,8,6,27
170609,2016,17413,5.87,5.504,39,2016,2,5,30,20,30,12,80,7,2,11
238825,2017,18701,5.58,5.495,39,2017,3,99,45,45,45,17,227,15,0,8
31846,2008,12225,7.21,5.535,39,2008,2,2,300,300,300,0,167,1,31,83
176663,2015,17752,5.62,5.502,39,2015,2,6,30,20,30,6,110,12,1,9
97248,2011,12625,7.12,5.532,39,2011,2,0,180,30,180,12,116,2,8,28
34590,2008,18693,5.17,5.495,39,2008,1,8,20,20,20,0,20,0,3,7
126749,2012,17428,5.66,5.504,39,2012,2,5,10,10,10,6,87,6,0,3
137685,2013,18283,5.44,5.498,39,2013,1,1,5,5,5,0,69,1,1,9
36250,1400,17429,5.78,5.504,39,1400,2,2,30,30,30,0,42,0,0,5
230246,2017,12157,7.08,5.535,39,2017,2,6,20,20,20,10,38,0,4,22
8364,1980,16050,6.27,5.512,39,1980,2,2,120,120,120,12,179,5,2,9
47484,2009,11071,8.24,5.544,39,2009,2,2,45,45,45,0,114,3,12,50
197073,2017,17169,7.06,5.505,39,2017,2,6,60,45,60,14,63,6,1,7
339466,2021,19347,5.34,5.489,39,2021,2,4,40,40,40,8,233,5,10,96
41428,2009,13678,6.74,5.525,39,2009,3,8,30,30,30,17,84,3,3,11
31021,0,11941,7.06,5.536,39,0,2,4,20,20,20,0,71,2,2,4
5137,1986,17440,5.55,5.504,39,1986,1,6,120,120,120,12,165,21,12,34
12924,1984,20371,4.79,5.476,39,1984,2,2,120,120,120,12,133,15,4,6
34974,2001,19063,5.14,5.492,39,2001,3,6,0,0,0,0,78,1,1,1
286236,2020,15633,6.23,5.514,39,2020,3,8,15,15,15,8,106,4,7,45
76994,2010,12904,6.88,5.53,39,2010,2,2,45,45,45,12,130,3,7,15
280378,2019,15939,6.39,5.512,39,2019,2,6,30,5,30,8,79,0,8,42
174491,2016,14237,7.09,5.522,39,2016,1,12,90,30,90,13,135,11,5,29
166991,2016,13666,7.5,5.525,39,2016,2,6,45,45,45,12,110,7,2,13
20732,1982,15155,6.43,5.517,39,1982,2,6,120,120,120,0,51,3,0,4
4810,1972,18872,5.27,5.494,39,1972,2,2,30,30,30,7,104,5,5,11
87280,2010,19157,5.2,5.491,39,2010,2,2,30,30,30,9,82,3,0,11
187186,2013,18731,5.37,5.495,39,2013,2,99,120,30,120,12,132,1,0,1
4248,1983,18345,5.56,5.498,39,1983,2,4,120,120,120,10,163,9,5,20
180340,2015,16366,5.93,5.51,39,2015,2,2,30,30,30,8,68,1,0,7
252165,2018,16353,8.17,5.51,39,2018,3,6,30,20,30,14,40,1,1,28
257205,2018,14123,6.53,5.523,39,2018,2,4,30,20,30,10,92,4,4,16
170980,2013,12711,6.95,5.531,39,2013,2,4,30,30,30,8,45,0,12,40
294529,2022,16689,6.42,5.508,39,2022,1,5,30,15,30,10,138,9,0,2
2408,2000,20254,4.79,5.478,39,2000,2,6,45,45,45,8,89,6,2,8
335541,2021,12708,7.07,5.531,39,2021,2,5,30,30,30,14,179,4,17,92
242024,2018,19182,5.35,5.491,39,2018,2,6,45,30,45,12,155,14,2,23
2497,2001,19926,4.77,5.483,39,2001,3,5,30,30,30,10,201,20,0,3
190115,2015,11616,7.71,5.539,39,2015,3,4,0,30,0,0,160,1,2,21
130304,2012,11406,7.71,5.541,39,2012,2,6,180,60,180,0,101,0,2,11
27675,2007,20485,4.35,5.474,39,2007,3,5,0,0,0,6,86,6,0,2
215609,2016,17385,5.93,5.504,39,2016,2,6,180,60,180,8,184,6,1,15
131499,2012,18480,5.42,5.497,39,2012,2,4,10,10,10,2,86,2,3,4
305865,2021,10704,7.81,5.547,39,2021,2,4,60,25,60,0,81,1,8,25
231316,2017,13280,7.24,5.528,39,2017,2,6,15,10,15,12,96,0,0,3
8279,1998,15345,6.45,5.516,39,1998,2,6,45,45,45,12,98,0,2,37
131684,2012,18366,5.54,5.497,39,2012,2,4,10,10,10,0,25,0,2,9
128072,2012,14019,6.83,5.523,38,2012,2,5,15,15,15,10,71,1,0,0
2782,1985,20475,4.33,5.474,38,1985,2,4,30,30,30,9,195,16,0,5
4410,1999,16439,5.86,5.51,38,1999,2,2,10,10,10,3,37,3,1,8
201842,2016,19678,4.76,5.486,38,2016,2,5,20,5,20,13,71,4,0,13
8740,1979,16257,6.32,5.511,38,1979,2,2,300,300,300,12,174,13,6,11
150623,2014,13425,6.77,5.527,38,2014,2,4,15,15,15,8,73,3,4,10
176478,2015,12374,7.55,5.534,38,2015,1,2,90,30,90,12,129,4,17,39
16608,1992,15549,6.95,5.515,38,1992,2,18,30,30,30,8,76,2,8,31
237213,2017,19656,5.08,5.486,38,2017,2,4,15,10,15,5,101,4,3,12
21716,2006,16323,6.03,5.51,38,2006,1,2,60,60,60,12,136,0,2,5
18584,2005,16424,6.31,5.51,38,2005,2,6,30,30,30,6,40,2,2,5
3376,1983,16324,5.97,5.51,38,1983,2,4,60,60,60,10,180,8,15,39
263175,2019,12944,6.81,5.53,38,2019,1,4,15,15,15,8,99,1,6,47
123386,2012,12910,7.02,5.53,38,2012,3,4,60,60,60,10,179,6,4,26
162070,2014,15551,6.25,5.515,38,2014,3,8,20,20,20,8,57,1,0,6
914,2000,19626,5.08,5.486,38,2000,1,1,20,20,20,10,75,2,3,18
236861,2020,13393,8.62,5.527,38,2020,1,6,120,45,120,14,78,2,12,86
144735,2013,19746,5.42,5.485,38,2013,2,4,30,30,30,10,106,9,0,3
34065,2008,16403,5.96,5.51,38,2008,2,4,0,0,0,0,111,8,0,8
10582,2000,19764,4.84,5.485,38,2000,2,5,45,45,45,8,110,8,1,1
208377,2017,12941,7.11,5.53,38,2017,1,6,180,40,180,10,204,10,9,23
20587,2005,13438,6.71,5.527,38,2005,1,8,120,120,120,10,102,2,1,10
235942,2018,20669,4.82,5.469,38,2018,2,4,60,30,60,10,34,1,0,7
228419,2017,15566,6.47,5.514,38,2017,3,6,30,5,30,8,51,5,0,5
2209,1975,15535,6.41,5.515,38,1975,2,6,60,60,60,10,94,6,6,11
209053,2016,14427,6.5,5.521,38,2016,2,5,15,10,15,12,82,2,2,7
17754,0,14956,6.7,5.518,38,0,2,4,0,0,0,8,67,1,28,62
6386,1992,19575,5.18,5.487,38,1992,2,5,60,60,60,10,121,9,3,6
236480,2017,15579,6.56,5.514,38,2017,2,4,45,30,45,8,45,1,1,11
72560,2009,18060,5.46,5.5,38,2009,2,0,20,20,20,7,134,2,0,1
